Name,Country,Age,Gender,Player_type,Batting_style,Bowling_style,Batting_innings,Runs,Highest,Batting_average,Balls_faced,Strike_rate,Hundreds,Fours,Sixes,Catches,Stumpings,Bowling_innings,Wickets,Bowling_average,Economy,Bowling_strike_rate
Mark Richard Adair,Ireland,24,Male,Bowling allrounder,Right-hand bat,Right-arm fast-medium,29,322,38,13.41,242,133.05,0,24,15,16,0,37,49,18.85,7.01,16.1
Curtis Campher,Ireland,21,Male,Bowling allrounder,Right-hand bat,Right-arm medium-fast,5,135,62*,45.00,83,162.65,0,9,9,3,0,6,4,50.50,11.22,27.0
Gareth James Delany,Ireland,23,Male,Allrounder,Right-hand bat,Legbreak googly,52,1264,89*,26.33,888,142.34,0,126,56,17,0,42,38,22.92,7.31,18.7
Edmund Christopher Joyce,Ireland,42,Male,Top-order batsman,Left-hand bat,Right-arm medium,85,1453,78*,20.18,1508,96.35,0,123,14,29,0,1,0,-,12.00,-
Andrew Robert McBrine,Ireland,27,Male,Bowler,Left-hand bat,Right-arm offbreak,28,354,52*,20.82,317,111.67,0,32,11,13,0,30,35,16.65,6.91,14.4
Timothy James Murtagh,Ireland,39,Male,Bowler,Left-hand bat,Right-arm fast-medium,39,227,40*,9.08,214,106.07,0,23,4,23,0,106,113,25.18,8.16,18.5
William Thomas Stuart Porterfield,Ireland,36,Male,Batsman,Left-hand bat,Right-arm offbreak,183,4372,127*,26.17,3533,123.74,1,475,106,82,0,-,-,-,-,-
James Norman Knight Shannon,Ireland,30,Male,Middle-order batsman,Right-hand bat,Right-arm offbreak,8,111,60,13.87,84,132.14,0,12,5,1,0,18,67,143.83,0,5
Harry Tom Tector,Ireland,21,Male,Middle-order batsman,Right-hand bat,Right-arm offbreak,40,805,91,25.96,603,133.49,0,61,29,22,0,15,11,25.54,7.39,20.7
Lorcan John Tucker,Ireland,24,Male,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,40,432,51,14.40,352,122.72,0,35,17,29,5,-,-,-,-,-
Andrew Balbirnie,Ireland,29,Male,Batsman,Right-hand bat,Right-arm offbreak,74,1841,99*,27.47,1384,133.02,0,206,38,31,0,-,-,-,-,-
Peter Karl David Chase,Ireland,27,Male,Bowler,Right-hand bat,Right-arm medium-fast,11,19,9*,6.33,24,79.16,0,3,0,14,0,34,43,21.83,8.35,15.6
George Henry Dockrell,Ireland,28,Male,Bowler,Right-hand bat,Slow left-arm orthodox,55,470,40*,15.66,392,119.89,0,33,10,88,0,131,141,21.18,7.10,17.8
Tyrone Edward Kane,Ireland,26,Male,Bowler,Right-hand bat,Right-arm medium-fast,19,237,36,18.23,162,146.29,0,19,13,9,0,26,39,14.97,7.89,11.3
Barry John McCarthy,Ireland,28,Male,Bowler,Right-hand bat,Right-arm medium,12,40,18*,5.71,38,105.26,0,1,2,1,0,25,29,27.20,9.78,16.6
Kevin Joseph O'Brien,Ireland,36,Male,Batting allrounder,Right-hand bat,Right-arm medium-fast,213,4093,124,22.36,2998,136.52,2,330,191,86,0,131,121,22.01,7.65,17.2
Stuart William Poynter,Ireland,30,Male,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,51,725,61*,23.38,582,124.57,0,55,14,36,10,-,-,-,-,-
Simi Singh,Ireland,33,Male,Bowling allrounder,Right-hand bat,Right-arm offbreak,42,740,109,21.14,567,130.51,1,51,31,16,0,46,43,21.04,7.35,17.1
Greg James Thompson,Ireland,33,Male,Bowler,Right-hand bat,Legbreak,23,499,80,27.72,364,137.08,0,51,21,10,0,-,-,-,-,-
Gary Craig Wilson,Ireland,34,Male,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,176,3350,80,24.10,2949,113.59,0,295,60,112,24,-,-,-,-,-
James Cameron-Dow,Ireland,30,Male,-,Left-hand bat,Slow left-arm orthodox,2,10,8,10,9,111.11,0,1,0,4,0,5,5,16.00,7.27,13.2
David Colin Alex Delany,Ireland,22,Male,Bowler,Left-hand bat,Right-arm medium-fast,11,126,25,18.00,107,117.75,0,9,6,4,0,20,18,29.50,7.86,22.5
Shane Charles Getkate,Ireland,29,Male,Allrounder,Right-hand bat,Right-arm medium-fast,33,449,49,15.48,381,117.84,0,32,18,12,0,39,52,18.84,8.42,13.4
Joshua Brian Little,Ireland,21,Male,Bowler,Right-hand bat,Left-arm fast-medium,9,25,7,5.00,35,71.42,0,3,0,7,0,26,22,34.81,8.52,24.5
James Alexander McCollum,Ireland,25,Male,Opening batsman,Right-hand bat,Right-arm medium,12,198,79*,19.80,159,124.52,0,22,5,3,0,-,-,-,-,-
Niall John O'Brien,Ireland,39,Male,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,127,2329,84,21.36,2091,111.38,0,203,41,82,35,-,-,-,-,-
William Boyd Rankin,Ireland,36,Male,Bowler,Left-hand bat, Right-arm fast-medium,26,87,16*,7.25,102,85.29,0,4,4,23,0,96,107,22.42,7.20,18.6
Paul Robert Stirling,Ireland,30,Male,Batting allrounder,Right-hand bat,Right-arm offbreak,230,5749,109,26.25,4038,142.37,1,689,209,68,0,112,72,26.15,7.33,21.4
Stuart Robert Thompson,Ireland,29,Male,Bowler,Left-hand bat,Right-arm medium-fast,52,672,56,16.00,577,116.46,0,58,24,39,0,50,32,34.62,8.31,25.0
Craig Alexander Young,Ireland,30,Male,Bowler,Right-hand bat,Right-arm fast-medium,16,49,8*,7.00,60,81.66,0,5,0,15,0,53,64,21.01,7.83,16.0
