Name,Country,Age,Gender,Player_type,Batting_style,Bowling_style,Batting_innings,Runs,Highest,Batting_average,Balls_faced,Strike_rate,Hundreds,Fours,Sixes,Catches,Stumpings,Bowling_innings,Wickets,Bowling_average,Economy,Bowling_strike_rate
Hamish Kyle Bennett,New Zealand,33,Male,Bowler,Left-hand bat,Right-arm medium-fast,15,26,12*,5.20,33,78.78,0,2,0,9,0,60,52,29.38,7.95,22.1
Thomas Charles Bruce,New Zealand,29,Male,Top-order batsman,Right-hand bat,Right-arm offbreak,17,279,59*,18.60,228,122.36,0,24,7,15,0,75,88*,143.82,0,11
Colin de Grandhomme,New Zealand,34,Male,Allrounder,Right-hand bat,Right-arm medium-fast,176,3302,72*,24.45,2048,161.23,0,240,199,87,0,123,66,38.80,9.35,24.8
Martin James Guptill,New Zealand,34,Male,Opening batsman,Right-hand bat,Right-arm offbreak,250,7393,120*,32.56,5651,130.82,4,642,335,151,0,4,0,-,8.75,-
Thomas William Maxwell Latham,New Zealand,28,Male,Wicketkeeper batsman,Left-hand bat,Right-arm medium,68,1790,110,27.53,1347,132.88,1,148,61,37,2,-,-,-,-,-
James Douglas Sheahan Neesham,New Zealand,30,Male,Batting allrounder,Left-hand bat,Right-arm medium-fast,101,1838,59*,26.25,1328,138.4,0,135,83,43,0,116,118,26.01,9.17,17.0
Glenn Dominic Phillips,New Zealand,24,Male,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,91,2692,116*,32.04,1963,137.13,4,234,129,56,8,1,0,-,10.00,-
Inderbir Singh Sodhi,New Zealand,28,Male,Bowler,Right-hand bat,Legbreak,48,268,51,11.16,248,108.06,0,18,12,25,0,157,175,25.02,7.86,19.0
Luteru Ross Poutoa Lote Taylor,New Zealand,36,Male,Middle-order batsman,Right-hand bat,Right-arm offbreak,269,6304,111*,31.05,4820,130.78,1,431,298,119,0,15,8,35.00,9.03,23.2
Bradley-John Watling,New Zealand,35,Male,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,60,1255,75,24.60,1152,108.94,0,109,17,36,3,-,-,-,-,-
Thomas Ackland Blundell,New Zealand,30,Male,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,37,818,79,24.05,657,124.5,0,70,21,22,2,1,0,-,24.00,-
Mark Sinclair Chapman,New Zealand,26,Male,Allrounder,Left-hand bat,Slow left-arm orthodox,77,1599,101,23.86,1233,129.68,1,135,55,25,0,26,18,25.50,7.77,19.6
Jacob Andrew Duffy,New Zealand,26,Male,Bowler,Right-hand bat,Right-arm fast-medium,22,104,18,11.55,70,148.57,0,6,6,12,0,64,83,23.24,8.70,16.0
Kyle Alex Jamieson,New Zealand,25,Male,Bowler,Right-hand bat,Right-arm medium,12,134,33*,26.80,99,135.35,0,9,3,4,0,33,49,19.81,7.96,14.9
Daryl Joseph Mitchell,New Zealand,29,Male,Allrounder,Right-hand bat,Right-arm medium,82,1691,88*,30.19,1318,128.3,0,102,71,52,0,42,38,23.21,9.00,15.4
Henry Michael Nicholls,New Zealand,29,Male,Top-order batsman,Left-hand bat,Right-arm offbreak,40,978,67*,29.63,773,126.52,0,90,24,21,0,1,0,-,5.00,-
Mitchell Josef Santner,New Zealand,28,Male,Bowling allrounder,Left-hand bat,Slow left-arm orthodox,75,1044,45*,22.21,823,126.85,0,70,45,39,0,94,97,23.78,7.08,20.1
William Edgar Richard Somerville,New Zealand,36,Male,Bowler,Right-hand bat,Right-arm offbreak,7,104,37*,52.00,81,128.39,0,5,7,6,0,26,20,32.00,7.47,25.7
Blair Marshall Tickner,New Zealand,27,Male,Bowler,Right-hand bat,Right-arm medium-fast,10,22,10*,11.00,20,110,0,1,1,9,0,44,67,20.44,8.61,14.2
Kane Stuart Williamson,New Zealand,30,Male,Top-order batsman,Right-hand bat,Right-arm offbreak,186,4968,101*,31.05,3964,125.32,1,464,126,79,0,54,30,30.30,7.08,25.6
Trent Alexander Boult,New Zealand,31,Male,Bowler,Right-hand bat,Left-arm fast-medium,24,51,8,4.63,72,70.83,0,1,1,45,0,112,130,26.28,8.39,18.7
Devon Philip Conway,New Zealand,29,Male,Top-order batsman,Left-hand bat,Right-arm medium,72,2395,105*,40.59,1894,126.45,2,254,58,27,1,8,3,47.00,8.21,34.3
Lachlan Hammond Ferguson,New Zealand,29,Male,Lockie,Bowler,Right-hand bat,13,66,24*,16.50,63,104.76,0,5,1,12,0,59,60,25.58,7.60,20.1
Scott Christopher Kuggeleijn,New Zealand,28,Male,Bowling allrounder,Right-hand bat,Right-arm fast-medium,68,619,38*,17.19,475,130.31,0,39,25,45,0,108,106,29.05,8.60,20.2
Colin Munro,New Zealand,33,Male,Opening batsman,Left-hand bat,Right-arm medium-fast,257,6589,109*,29.15,4575,144.02,4,557,351,70,0,65,31,32.48,9.21,21.1
Ajaz Yunus Patel,New Zealand,32,Male,Bowler,Left-hand bat,Slow left-arm orthodox,16,69,12*,9.85,66,104.54,0,3,3,10,0,45,56,21.69,7.89,16.4
Tim Louis Seifert,New Zealand,26,Male,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,88,1986,107,26.48,1469,135.19,1,170,95,65,16,-,-,-,-,-
Timothy Grant Southee,New Zealand,32,Male,Bowler,Right-hand bat,Right-arm medium-fast,93,773,74,12.46,522,148.08,0,58,43,85,0,185,204,27.54,8.32,19.8
Neil Wagner,New Zealand,34,Male,Bowler,Left-hand bat,Left-arm medium-fast,38,198,16*,9.00,160,123.75,0,13,8,11,0,72,79,27.82,8.78,19.0
William Alexander Young,New Zealand,28,Male,Top-order batsman,Right-hand bat,Right-arm offbreak,60,1406,96,25.10,1069,131.52,0,106,55,29,0,-,-,-,-,-
