Name,Country,Age,Gender,Player_type,Batting_style,Bowling_style,Batting_innings,Runs,Highest,Batting_average,Balls_faced,Strike_rate,Hundreds,Fours,Sixes,Catches,Stumpings,Bowling_innings,Wickets,Bowling_average,Economy,Bowling_strike_rate
Abdullah Shafique,Pakistan,21,Male,Top-order batsman,Right-hand bat,Right-arm offbreak,13,399,102*,39.90,306,130.39,1,41,9,4,0,-,-,-,-,-
Azhar Ali,Pakistan,35,Male,Top-order batsman,Right-hand bat,Legbreak,49,985,72,21.88,941,104.67,0,98,16,24,0,15,15,18.86,6.35,17.8
Fakhar Zaman,Pakistan,30,Male,Opening batsman,Left-hand bat,Slow left-arm orthodox,133,3510,100*,27.20,2596,135.2,1,389,116,58,0,15,4,40.50,6.65,36.5
Haris Rauf,Pakistan,27,Male,Bowler,Right-hand bat,Right-arm fast,8,33,12,5.50,28,117.85,0,4,2,16,0,55,83,19.55,8.08,14.5
Iftikhar Ahmed,Pakistan,30,Male,Middle-order batsman,Right-hand bat,Right-arm offbreak,107,2188,90*,27.01,1796,121.82,0,166,82,40,0,52,23,35.78,7.63,28.1
Khushdil Shah,Pakistan,25,Male,Middle-order batsman,Left-hand bat,Slow left-arm orthodox,63,1430,100,28.60,1058,135.16,1,103,77,29,1,15,6,33.83,6.34,32.0
Mohammad Hafeez,Pakistan,40,Male,Allrounder,Right-hand bat,Right-arm offbreak,290,6758,102*,26.19,5470,123.54,2,693,214,99,0,217,177,23.84,6.41,22.2
Muhammad Musa Khan,Pakistan,20,Male,Bowler,Right-hand bat,Right-arm fast-medium,6,27,17*,13.50,25,108,0,3,1,4,0,26,27,29.29,8.64,20.3
Shaheen Shah Afridi,Pakistan,20,Male,Bowler,Left-hand bat,Left-arm fast,18,61,14,5.08,86,70.93,0,3,2,8,0,68,92,21.16,7.69,16.5
Usman Qadir,Pakistan,27,Male,Bowler,Left-hand bat,Legbreak,20,147,36,13.36,144,102.08,0,15,3,8,0,37,41,22.63,7.25,18.7
Abid Ali,Pakistan,33,Male,Opening batsman,Right-hand bat,Legbreak,44,875,62*,21.87,821,106.57,0,89,12,17,2,-,-,-,-,-
Mohammad Babar Azam,Pakistan,26,Male,Batsman,Right-hand bat,Right-arm offbreak,156,5692,114*,44.81,4463,127.53,4,580,106,74,0,5,4,21.25,6.53,19.5
Fawad Alam,Pakistan,35,Male,Top-order batsman,Left-hand bat,Slow left-arm orthodox,98,2258,70,30.93,1893,119.28,0,182,34,35,0,47,43,18.90,7.37,15.3
Haris Sohail,Pakistan,31,Male,Middle-order batsman,Left-hand bat,Slow left-arm orthodox,87,1913,69*,28.55,1747,109.5,0,155,51,37,0,5,4,20.25,7.96,15.2
Syed Imad Wasim,Pakistan,32,Male,Allrounder,Left-hand bat,Slow left-arm orthodox,150,1816,64,19.52,1435,126.55,0,167,44,64,0,194,172,25.39,6.47,23.5
Mohammad Abbas,Pakistan,30,Male,Bowler,Right-hand bat,Right-arm medium-fast,10,32,15*,10.66,21,152.38,0,3,2,7,0,31,26,37.34,8.59,26.0
Mohammad Hasnain,Pakistan,20,Male,Bowler,Right-hand bat,Right-arm fast,13,22,11,3.14,33,66.66,0,2,1,3,0,45,60,24.43,8.37,17.5
Sarfaraz Ahmed,Pakistan,33,Male,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,161,3081,89*,27.02,2406,128.05,0,294,60,107,44,1,0,-,9.00,-
Shan Masood Khan,Pakistan,31,Male,Shaan Masood,Shaani,Opening batsman,62,1373,103*,22.88,1155,118.87,1,161,19,24,0,-,-,-,-,-
Wahab Riaz,Pakistan,35,Male,Vicky,Bowler,Right-hand bat,156,1404,53,14.47,1060,132.45,0,111,56,80,0,264,316,21.83,7.27,18.0
Asad Shafiq,Pakistan,34,Male,Middle-order batsman,Right-hand bat,Right-arm offbreak,98,2228,92*,25.03,1898,117.38,0,244,33,48,0,10,4,21.75,7.25,18.0
Faheem Ashraf,Pakistan,26,Male,Bowling allrounder,Left-hand bat,Right-arm medium,72,759,54*,15.81,539,140.81,0,56,42,27,0,102,113,24.71,8.18,18.1
Haider Ali,Pakistan,20,Male,Middle-order batsman,Right-hand bat,-,30,771,90,27.53,503,153.28,0,67,40,6,0,-,-,-,-,-
Mohammad Hussain Talat,Pakistan,24,Male,Allrounder,Left-hand bat,Right-arm medium-fast,90,2076,80*,32.95,1654,125.51,0,183,59,23,0,54,37,28.16,8.90,18.9
Imam-ul-Haq,Pakistan,25,Male,Top-order batsman,Left-hand bat,Uncle - Inzamam-ul-Haq,61,1875,94,35.37,1503,124.75,0,177,35,17,0,-,-,-,-,-
Mohammad Amir,Pakistan,28,Male,Bowler,Left-hand bat,Left-arm fast,67,244,21*,6.59,270,90.37,0,13,9,16,0,182,216,22.20,7.07,18.8
Mohammad Rizwan,Pakistan,28,Male,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,93,2029,99*,30.74,1713,118.44,0,184,48,67,31,1,1,22.00,11.00,12.0
Shadab Khan,Pakistan,22,Male,Allrounder,Right-hand bat,Legbreak,84,1127,77,17.88,846,133.21,0,66,55,52,0,136,164,21.82,7.10,18.4
Shoaib Malik,Pakistan,38,Male,Allrounder,Right-hand bat,Right-arm offbreak,384,10387,95*,37.09,8243,126,0,812,308,162,0,236,151,27.15,7.02,23.1
Yasir Shah,Pakistan,34,Male,Bowler,Right-hand bat,Legbreak googly,64,412,28,8.95,420,98.09,0,31,9,40,0,122,106,29.96,7.13,25.1
