Name,Country,Age,Gender,Player_type,Batting_style,Bowling_style,Batting_innings,Runs,Highest,Batting_average,Balls_faced,Strike_rate,Hundreds,Fours,Sixes,Catches,Stumpings,Bowling_innings,Wickets,Bowling_average,Economy,Bowling_strike_rate
Minod Bhanuka Ranasinghe,Sri Lanka,25,Male,Top-order batsman,Left-hand bat,Wicketkeeper,46,807,70*,19.68,679,118.85,0,67,34,35,15,-,-,-,-,-
Pinnaduwage Wanindu Hasaranga de Silva,Sri Lanka,23,Male,Allrounder,Right-hand bat,Legbreak,43,693,74,20.38,503,137.77,0,66,18,27,0,46,63,16.07,6.64,14.5
Aththachchi Nuwan Pradeep Roshan Fernando,Sri Lanka,34,Male,Bowler,Right-hand bat,Right-arm fast-medium,19,40,9*,8.00,58,68.96,0,4,1,11,0,53,55,24.01,8.14,17.6
Weerahandige Inol Avishka Fernando,Sri Lanka,22,Male,Opening batsman,Right-hand bat,Right-arm medium-fast,45,1184,92*,27.53,863,137.19,0,103,60,14,0,-,-,-,-,-
Frank Dimuth Madushanka Karunaratne,Sri Lanka,32,Male,Opening batsman,Left-hand bat,Right-arm medium,33,543,80,16.96,499,108.81,0,68,3,17,1,-,-,-,-,-
Lahiru Dilshan Madushanka,Sri Lanka,28,Male,Allrounder,Right-hand bat,Right-arm fast-medium,31,375,51,15.00,338,110.94,0,21,13,18,0,41,34,25.97,8.07,19.2
Balapuwaduge Kusal Gimhan Mendis,Sri Lanka,25,Male,Wicketkeeper batsman,Right-hand bat,Legbreak,56,1414,79,26.18,1017,139.03,0,114,70,21,1,1,0,-,0.00,-
Mathurage Don Kusal Janith Perera,Sri Lanka,30,Male,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,105,2458,87,24.33,1859,132.22,0,230,96,38,19,-,-,-,-,-
Chandrasekara Arachchilage Kasun Rajitha,Sri Lanka,27,Male,Bowler,Right-hand bat,Right-arm medium-fast,15,65,18*,10.83,85,76.47,0,1,4,5,0,41,66,18.54,8.16,13.6
Madagamagamage Dasun Shanaka,Sri Lanka,29,Male,Allrounder,Right-hand bat,Right-arm medium,95,2124,131*,28.32,1450,146.48,3,144,139,32,0,49,27,34.03,8.93,22.8
Lokuge Dinesh Chandimal,Sri Lanka,31,Male,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,120,3064,101*,29.46,2574,119.03,1,283,80,74,25,-,-,-,-,-
Dickwella Patabendige Dilantha Niroshan Dickwella,Sri Lanka,27,Male,Wicketkeeper batsman,Left-hand bat,-,71,1494,79*,22.98,1063,140.54,0,194,34,48,16,-,-,-,-,-
Bodiyabaduge Oshada Piyumal Fernando,Sri Lanka,28,Male,Batsman,Right-hand bat,Legbreak,19,295,78*,17.35,259,113.89,0,29,7,7,0,-,-,-,-,-
