Name,Country,Age,Gender,Player_type,Batting_style,Bowling_style,Batting_innings,Runs,Highest,Batting_average,Balls_faced,Strike_rate,Hundreds,Fours,Sixes,Catches,Stumpings,Bowling_innings,Wickets,Bowling_average,Economy,Bowling_strike_rate
Ryan Ponsonby Burl,Zimbabwe,26,Male,Middle-order batsman,Left-hand bat,Legbreak,31,592,77*,26.90,494,119.83,0,41,21,18,0,23,15,27.13,8.14,20.0
Tendai Larry Chatara,Zimbabwe,29,Male,Bowler,Right-hand bat,Right-arm fast-medium,11,24,8,3.00,35,68.57,0,1,0,18,0,59,65,23.55,7.31,19.3
Tendai Sam Chisoro,Zimbabwe,32,Male,Bowler,Left-hand bat,"Left-arm fast-medium, Slow left-arm orthodox",36,447,85,15.96,377,118.56,0,31,15,8,0,42,27,39.70,7.80,30.5
Kyle Malcolm Jarvis,Zimbabwe,31,Male,Bowler,Right-hand bat,Right-arm fast-medium,18,83,27,8.30,96,86.45,0,4,4,21,0,63,65,28.32,8.53,19.9
Wesley Nyasha Madhevere,Zimbabwe,20,Male,Allrounder,Right-hand bat,Right-arm offbreak,5,107,70*,26.75,90,118.88,0,13,2,2,0,4,1,57.00,7.12,48.0
Prince Spencer Masvaure,Zimbabwe,32,Male,-,Left-hand bat,Left-arm fast-medium,29,476,53,17.00,452,105.3,0,37,12,7,0,20,8,41.87,8.58,29.2
Blessing Muzarabani,Zimbabwe,24,Male,Bowler,Right-hand bat,Right-arm fast-medium,6,15,9,7.50,24,62.5,0,2,0,3,0,12,14,26.28,8.79,17.9
Carl Tapfuma Mumba,Zimbabwe,25,Male,Bowler,Right-hand bat,Right-arm fast-medium,3,31,25,15.50,20,155,0,4,1,0,0,5,3,51.66,9.11,34.0
Wellington Pedzisai Masakadza,Zimbabwe,27,Male,Bowler,Left-hand bat,Slow left-arm orthodox,12,60,11,7.50,63,95.23,0,7,0,15,0,29,32,21.12,6.82,18.5
Kevin Tatenda Kasuza,Zimbabwe,27,Male,Right-hand bat,Right-arm offbreak,Wicketkeeper,27,492,55,18.92,454,108.37,0,44,16,7,0,1,0,-,10.00,-
Mohammad Faraz Akram,Zimbabwe,27,Male,Bowler,Left-hand bat,Right-arm medium,3,12,9*,12.00,26,46.15,0,1,0,0,0,5,1,91.00,7.37,74.0
Elton Chigumbura,Zimbabwe,34,Male,Allrounder,Right-hand bat,Right-arm fast-medium,145,2452,103*,22.49,1864,131.54,1,139,132,58,0,87,77,24.76,8.41,17.6
Brian Bara Chari,Zimbabwe,28,Male,Opening batsman,Right-hand bat,Right-arm offbreak,3,21,19,7.00,31,67.74,0,4,0,2,0,24,93,114.09,0,5
Charlton Kirsh Tshuma,Zimbabwe,27,Male,Bowler,Right-hand bat,Right-arm fast-medium,-,-,-,-,-,-,-,-,-,0,0,3,5,9.20,6.57,8.4
Sikandar Raza Butt,Zimbabwe,34,Male,Batting allrounder,Right-hand bat,Right-arm offbreak,103,1993,95,21.90,1608,123.94,0,176,63,52,0,76,43,33.11,7.56,26.2
